# Time (seconds),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0012499,9.938331604003906,-1.2473790645599365,-1.680729627609253,-1.8463134765625,-6.04248046875,-0.9918212890625
0.0037499,9.916783332824707,-1.2449848651885986,-1.7118542194366455,-1.6326904296875,-5.828857421875,-1.1444091796875
0.0062499,9.888052940368652,-1.2449848651885986,-1.742978811264038,-1.77001953125,-5.5084228515625,-1.28173828125
0.0087499,9.852140426635742,-1.2497732639312744,-1.7764976024627686,-1.8157958984375,-5.126953125,-1.2054443359375
0.0112499,9.81143856048584,-1.2545616626739502,-1.802833914756775,-1.89208984375,-4.791259765625,-1.1444091796875
0.0137499,9.765948295593262,-1.2665326595306396,-1.821987509727478,-1.678466796875,-4.730224609375,-1.28173828125
0.016249899999999998,9.718064308166504,-1.2713210582733154,-1.8387469053268433,-1.8157958984375,-4.5928955078125,-1.5869140625
0.0187499,9.672574996948242,-1.2665326595306396,-1.8531121015548706,-1.9378662109375,-4.425048828125,-1.708984375
0.021249900000000002,9.62947940826416,-1.2473790645599365,-1.8698714971542358,-1.800537109375,-4.150390625,-1.9683837890625
0.023749899999999997,9.59835433959961,-1.2210428714752197,-1.886630892753601,-2.044677734375,-4.180908203125,-2.0751953125
0.0262499,9.579200744628906,-1.194706678390503,-1.9057846069335938,-2.50244140625,-4.058837890625,-2.6092529296875
0.028749900000000002,9.564835548400879,-1.1851298809051514,-1.9249382019042969,-2.8076171875,-3.7994384765625,-2.74658203125
0.031249899999999997,9.560047149658203,-1.1875240802764893,-1.946485996246338,-2.62451171875,-3.7841796875,-2.9449462890625
0.0337499,9.545681953430176,-1.213860273361206,-1.968033790588379,-2.8839111328125,-3.753662109375,-3.2501220703125
0.0362499,9.528923034667969,-1.2449848651885986,-1.9847931861877441,-3.082275390625,-3.9215087890625,-3.4332275390625
0.0387499,9.500192642211914,-1.292868971824646,-1.9991583824157715,-3.204345703125,-3.84521484375,-3.631591796875
0.0412499,9.481039047241211,-1.338358759880066,-2.006340980529785,-3.4332275390625,-3.7384033203125,-4.08935546875
0.0437499,9.457097053527832,-1.381454348564148,-2.0039467811584473,-3.5247802734375,-3.997802734375,-4.119873046875
0.0462499,9.437943458557129,-1.414973258972168,-1.9991583824157715,-3.5400390625,-4.1656494140625,-4.0283203125
0.0487499,9.41400146484375,-1.434126853942871,-1.9967641830444336,-3.90625,-4.2877197265625,-4.364013671875
0.0512499,9.3828763961792,-1.4413094520568848,-1.9943699836730957,-4.241943359375,-4.425048828125,-4.6844482421875
0.053749899999999996,9.35654067993164,-1.4389152526855469,-2.0015525817871094,-4.5013427734375,-4.4708251953125,-4.7454833984375
0.0562499,9.334992408752441,-1.4245500564575195,-2.0159177780151367,-4.547119140625,-4.6844482421875,-4.791259765625
0.0587499,9.32541561126709,-1.3958195447921753,-2.027888774871826,-4.5166015625,-4.7149658203125,-4.9591064453125
0.061249899999999996,9.320627212524414,-1.3623007535934448,-2.0422539710998535,-4.7454833984375,-5.06591796875,-5.035400390625
0.0637499,9.32541561126709,-1.3239935636520386,-2.0470423698425293,-4.57763671875,-5.2490234375,-5.2337646484375
0.0662499,9.339780807495117,-1.2880805730819702,-2.049436569213867,-4.486083984375,-5.4779052734375,-5.2642822265625
0.0687499,9.35893440246582,-1.2521674633026123,-2.049436569213867,-4.6844482421875,-5.615234375,-5.37109375
0.0712499,9.375694274902344,-1.2186486721038818,-2.0446481704711914,-4.5166015625,-5.889892578125,-5.615234375
0.0737499,9.387664794921875,-1.1851298809051514,-2.0470423698425293,-4.547119140625,-5.9661865234375,-5.523681640625
0.0762499,9.385271072387695,-1.1563993692398071,-2.0374655723571777,-4.638671875,-6.1187744140625,-5.43212890625
0.0787499,9.375694274902344,-1.1300631761550903,-2.032677173614502,-4.45556640625,-6.2255859375,-5.340576171875
0.0812499,9.361329078674316,-1.1037269830703735,-2.0207061767578125,-4.486083984375,-6.40869140625,-5.18798828125
0.0837499,9.344569206237793,-1.0893617868423462,-2.011129379272461,-4.5318603515625,-6.622314453125,-5.0811767578125
0.0862499,9.32541561126709,-1.0773907899856567,-2.006340980529785,-4.4708251953125,-6.5460205078125,-5.2337646484375
0.0887499,9.308655738830566,-1.0773907899856567,-2.0039467811584473,-4.4708251953125,-6.7596435546875,-4.9285888671875
0.0912499,9.299078941345215,-1.0821791887283325,-2.006340980529785,-4.6234130859375,-6.8359375,-4.4403076171875
