# Time (seconds),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0012499,-7.769743209013839,-1.1758542443397855,-5.576844741953401,-93.1805554605891,-6.965602592504376,-16.836074261652506
0.0112499,-7.4601350037884435,-1.1905501665482479,-5.526210441009271,-91.76339330641109,-7.9278056773866945,-16.118639929239905
0.0212499,-7.14038044345503,-1.2508320620966966,-5.280131063913905,-89.50429049871303,-8.102462151858807,-15.32408114729992
0.0312498999999999,-6.8192105003631625,-1.3110576590900624,-4.854712922272361,-86.18398577188034,-7.342189613285324,-14.07651791769399
0.0412499,-6.556316043173023,-1.2896148399498464,-4.504804084983344,-81.7083893841529,-4.97287362948883,-11.840239064796284
0.0512499,-6.426867680947658,-1.401719220597482,-4.247984612422979,-75.15158377780828,-1.354782765016626,-8.626954562425706
0.0612498999999999,-6.398916106047046,-1.6656000104159179,-3.986971394675315,-65.74370603483769,2.750332749228237,-3.970990788649077
0.0712499,-6.462167925718989,-1.9303059972693537,-3.7726881968078754,-53.67243056461347,7.168245782302886,2.4448788559752095
0.0812499,-6.55974756727512,-2.247814586987674,-3.6718173704755297,-39.04440340319213,11.464319584452285,10.608310934102414
0.0912499,-6.607102999279906,-2.5933666972749463,-3.6579689264675244,-22.069433932562614,14.798449436712644,20.61476901909505
0.1012499,-6.631339689918564,-2.8751276672540897,-3.664296344795999,-3.4163002152786106,16.681091532308667,31.694006476209175
0.1112499,-6.6666046813145226,-3.110341500565269,-3.708434393606719,15.925551772933401,17.187972782349295,43.35007047260919
0.1212499,-6.7569032813262435,-3.2381890688800476,-3.7764135509914225,34.45862717891106,16.580862687393616,55.06187386164581
0.1312499,-6.867483143291991,-3.238520339174503,-3.8085723903959496,51.273596124466984,15.224255940940385,65.76055350554407
0.1412499,-6.930385590061924,-3.1198562255315077,-3.8683417478720927,65.4676676026965,13.762702877318556,74.71523096966928
0.1512499,-6.96663778024965,-2.968350793598819,-3.8924547508324605,77.0158170401613,12.290102902183296,81.88806346350387
0.1612499,-7.057308462812852,-2.815364335187507,-3.873054056570375,86.25172695400873,10.69180948579236,87.16704503968343
0.1712499,-7.269795964562629,-2.6450236270037797,-3.8853338088844565,93.12282092597381,9.023375639099823,90.65654867255107
0.1812499,-7.539514832825677,-2.424412035868098,-3.9300487749238955,98.01402300358843,7.061542603744223,92.60915439133983
0.1912499,-7.75505129340698,-2.281275672419948,-4.024445170499206,101.72531602581816,5.048651820309694,93.77286131974624
0.2012499,-7.986746067648456,-2.316834347829049,-4.117731723594802,105.1561023231827,2.9957521625220207,94.77555621824915
0.2112499,-8.254277175886008,-2.318486457848379,-4.2109352554059445,108.36731843518653,0.5359415550514954,95.61124136006704
0.2212499,-8.388542659486058,-2.2475262401928013,-4.375807574353717,111.18272404356874,-1.3606734844296244,96.08079886892254
0.2312499,-8.484935811173877,-2.44206234560276,-4.420134123845872,115.33858758474635,-2.954842128370307,96.52230507197704
0.2412499,-8.605720390390285,-2.9355583229501256,-4.254592049315982,124.15261291795122,-4.578232722054191,97.24738661147289
0.2512499,-8.559351469273926,-3.44570067821843,-4.134505267326344,138.08676538175231,-5.364491881426951,97.59611230209099
0.2612499,-8.542091342023795,-3.8297045094442916,-4.040088467215978,153.98508795993334,-5.9314432085040885,97.28021470830333
0.2712499,-8.638288388315454,-4.005484788250908,-3.93748001095989,169.99580477849256,-6.434959689377398,96.09508175352097
0.2812499,-8.585368536338843,-3.903429410488897,-3.9652303118542185,183.57203041471624,-5.998523295299524,93.71647182451424
0.2912499,-8.460221925167943,-3.560408825242345,-4.08883689140523,192.53166322690691,-4.441019439474876,89.35339776532885
0.3012499,-8.433426164340911,-3.0723933477666487,-4.23559140530846,196.2724828218902,-2.704338421161586,82.74965142988972
0.3112499,-8.406570204690398,-2.583393995631377,-4.383220731939894,195.30715148429755,-1.5447400488608118,74.30476573895035
0.3212499,-8.312711801298805,-2.073859180931547,-4.483671858062922,189.11972416015468,-0.7401645113217082,64.41056623230276
0.3312499,-8.362324814934022,-1.6382398188982776,-4.479163938474205,177.846870038909,-0.3640010888912203,54.010958326091234
0.3412499,-8.532886870930673,-1.3206819813651385,-4.424848618178662,161.57949499051867,-0.36450609041332865,43.89195891434274
0.3512499,-8.600490553520466,-1.0098113017195922,-4.289471733888733,141.18707648815882,-0.5797331196357091,34.559142038727515
0.3612499,-8.591136425493964,-0.9411681946737432,-4.079928510427814,118.81691853856749,-0.771744481397366,26.561549131949445
0.3712499,-8.630282017378795,-1.1595284691869563,-3.9060444624530435,95.55360502418894,-1.5386827324381758,20.537404851540604
0.3812499,-8.72108766314198,-1.424792715418615,-3.7360439200232194,72.26441651873957,-3.158787252971775,16.150818532472847
0.3912499,-8.847809751887795,-1.6338003126669525,-3.643592816665271,49.6368994623649,-5.268172098936191,12.690871801133175
0.4012499,-8.925051505805076,-1.7001890507133604,-3.6501071447975977,27.923095539630083,-8.315063613977438,9.617357432334083
0.4112499,-8.934556289219172,-1.6399030705388544,-3.6298821355731334,7.112811475199262,-11.97545799814081,6.396695240920229
0.4212499,-8.92180664124138,-1.6026626563982733,-3.6492514481273632,-12.461277573801164,-15.95605852823305,3.0326147222446576
0.4312499,-8.833072780084597,-1.6298557498200705,-3.745546463413208,-30.667182194805477,-20.458015421891258,-0.1845605587739984
0.4412499,-8.740205929154174,-1.7328055080595797,-3.8295060701216745,-47.88905841537929,-25.023126085482996,-2.875337568866213
0.4512499,-8.730691174591161,-1.8168799227438595,-3.8675050970859557,-64.31181806869377,-29.112044327901376,-4.8418289404350805
0.4612499,-8.718555800060248,-1.8411976999820279,-3.8929998661070147,-80.23664556615437,-32.319247920639434,-6.203925735286752
0.4712499,-8.672130595418379,-1.856051814698034,-3.978503741012042,-95.93578808330692,-34.75880340348978,-7.428326429382393
0.4812499,-8.579234530669638,-1.8887198667276712,-4.096328590606014,-111.13822111291472,-36.730199114393834,-8.575285666798855
0.4912499,-8.454935647504195,-1.9908099180681043,-4.156680236108683,-125.17530406241963,-38.190825779703594,-10.070591346831826
0.5012499,-8.346526748758011,-2.0968888548202282,-4.222736490567266,-137.4803578610988,-39.08279516752453,-12.155315482216198
0.5112499,-8.259503648728646,-2.1357082296424807,-4.33920799264788,-147.81453432735822,-39.55139445566281,-14.655239038246815
0.5212499,-8.223644937712727,-2.228963096586314,-4.386009582352201,-155.73450146297463,-39.56547760176973,-17.67528216256366
0.5312499,-8.266097343717732,-2.486390440783446,-4.3770072473443795,-160.50945573631424,-39.08286081686875,-20.63764460921369
0.5412499000000001,-8.3754373334279,-2.7942111176596707,-4.373899932351989,-162.40747232438542,-38.189498137434036,-23.407008449010494
0.5512499000000001,-8.432483571223457,-3.059649276708453,-4.335854675890257,-161.64713179287605,-36.84699704043111,-25.995094386680083
0.5612499000000001,-8.43395516379939,-3.314638615142356,-4.269141956319482,-157.6475101892128,-34.966263931718736,-28.317065429027938
0.5712499000000001,-8.476129309393997,-3.579701487382358,-4.145237817846206,-149.7320758965222,-32.32669499599196,-30.473445600048972
0.5812499,-8.593162714871585,-3.850183309833125,-3.9811767564713647,-138.79559817185125,-29.302222320241786,-32.09665388583784
0.5912499,-8.776489178620904,-4.031088789194991,-3.8710503501437152,-125.58851674455948,-26.333585714291768,-33.010615606877586
0.6012499,-8.933062237641977,-4.178518319906285,-3.7256289067772888,-110.31345268993974,-22.42270138125478,-33.794409301478055
0.6112499,-9.117804693664313,-4.360448218195941,-3.511487094704431,-92.6081844276003,-18.080560364650225,-34.354529982778395
0.6212499,-9.280660282522469,-4.49174016431752,-3.3712920794254657,-73.31617758327985,-14.148684985126984,-34.38090180601812
0.6312499,-9.278169217098796,-4.634891784545472,-3.2291719617059007,-52.24413162106465,-10.306333124371749,-34.12386767359506
0.6412499,-9.199466993511633,-4.664369183234242,-3.059908098024692,-30.347819258703737,-6.760720516464019,-33.74258154174108
0.6512499,-9.21312139530206,-4.555626245444436,-3.022269056265575,-9.259066026032519,-3.72213896451591,-33.53150304968837
0.6612499000000001,-9.361953361604193,-4.409985086987681,-3.1618209102040984,10.263403730835057,-0.7340650749502525,-33.36165472742144
0.6712499000000001,-9.600182182852082,-4.24424273613887,-3.2685858245620727,27.580832582077644,2.06532792497218,-33.14803802210257
0.6812499000000001,-9.761756707465182,-4.047045919816756,-3.2370539132406773,41.531312626206955,5.130704817565344,-32.9499313913072
0.6912499000000001,-9.827656352053452,-3.8730349642237907,-3.1682708236635393,52.15606779689003,9.341508406644458,-32.316136032714496
0.7012499000000001,-9.924444543548566,-3.7360414075783246,-3.1196649148762625,60.535068848526,14.599924443171655,-31.78743019945228
0.7112499,-9.999266435658532,-3.540027231170451,-3.0281012164857115,67.20246090385841,20.047616541434152,-32.316527093082165
0.7212499,-9.995965579800588,-3.254858993290654,-2.896332335000925,72.0354968278213,25.63799542358073,-34.010197618472475
0.7312499,-9.98959606135034,-2.9954239103313545,-2.79507741933446,76.20233993194027,31.61776502074717,-37.40482224130392
0.7412499,-10.001288948501532,-2.859640938344034,-2.7519018947903584,80.18853146454795,36.72324095352724,-42.19517271452635
0.7512499,-10.031276456562598,-2.8266505572875955,-2.7505509397824284,83.99423501055738,40.25753682770956,-47.00216498946752
0.7612499,-10.074980888139713,-2.8414830941389346,-2.725745015171923,87.9651649686289,42.679054081995666,-51.74846143616924
0.7712499,-10.130961996957659,-2.898267373167895,-2.6859692054353346,92.26332627250203,44.01751503295952,-56.13612189527411
0.7812499,-10.23257070645459,-2.920556991252692,-2.736903432904462,96.08304791684623,44.66168346000834,-59.50165671868132
0.7912499000000001,-10.401818985727548,-2.9577611124284933,-2.8280736081479505,99.80502183776998,44.40990754262098,-61.949453832094214
0.8012499000000001,-10.493261475244177,-2.977302114503914,-2.7402595034653134,103.15328398138494,43.1316308379518,-63.644099691352665
0.8112499000000001,-10.337339012005371,-2.8796893725993753,-2.5340682682285767,104.96290725207778,42.2925453623569,-64.58073527582022
0.8212499000000001,-10.136725853372912,-2.7684941381249186,-2.3580469555124255,105.5662557898371,42.124067237147344,-64.94856577916536
0.8312499000000001,-10.032285581505867,-2.685827233765933,-2.2574846295307958,105.46872485704667,41.845629179854825,-64.964532613456
0.8412499,-9.882417007437498,-2.563346675472526,-2.220280949213973,104.37950606145098,41.389646395871495,-64.83678259794358
0.8512499,-9.702769555361298,-2.4291592062671032,-2.1629746013276945,102.37218206820015,41.102527821961175,-64.63901378194284
0.8612499,-9.591927028897656,-2.308774379518467,-2.091491955561261,99.53411597587197,40.87869247864491,-64.22004017463937
0.8712499,-9.507912458217174,-2.2259766842838924,-2.033767135877172,96.00470649839981,40.56857889066868,-63.37789848776762
0.8812499,-9.448306698782906,-2.2034142490048643,-2.027669921161254,92.0913584689236,40.12430748737241,-61.86663837214382
0.8912499,-9.459957769726733,-2.225349704086771,-2.0565200763232228,88.21930756051718,39.29399121064876,-59.40441180060102
0.9012499,-9.488214841373452,-2.283296037119116,-1.984681155710182,84.01209947985083,38.55643846402208,-55.85703140368869
