# Time (seconds),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0012499,8.741472927648262,-6.304084164391568,0.23720474176704903,-9.984119704979328,-14.846623515909537,-0.8929284013820881
0.0112499,8.749082274528202,-6.3554434038029655,0.13646641631219625,-8.833489470990083,-14.900664822522726,-4.719342486033346
0.0212499,8.676986006614003,-6.359357372773753,-0.0468017503034383,-7.41950941894478,-15.088891720440543,-7.92326312775266
0.0312498999999999,8.564826684601703,-6.329883845068898,-0.1417892639614865,-6.143602756960362,-15.107318151078305,-10.839048051351096
0.0412499,8.478188784957744,-6.293023539141148,-0.19932350890195916,-4.770983327653243,-14.880957039295529,-13.529964771389734
0.0512499,8.450030571449892,-6.286613257367981,-0.29448033934212225,-2.756960279872773,-14.772124042267794,-16.185904681608548
0.0612498999999999,8.529988285868308,-6.321503128366869,-0.36360276375893374,0.12064845163053912,-14.572140517723854,-18.23003013706738
0.0712499,8.618226006204118,-6.324886136343221,-0.3961547264238218,3.616518729275747,-14.342439150888543,-19.41041144968749
0.0812499,8.630700466542923,-6.247424906835963,-0.4500193714375814,6.9204618575857095,-13.852367399339256,-20.17408574944576
0.0912499,8.665692440826989,-6.082309271528665,-0.5406156433008055,9.73981301849776,-13.351750015684415,-20.952200174276904
0.1012499,8.716054341991116,-5.906818292385185,-0.5914986701922151,11.912660205863935,-13.071783656089991,-21.747385110188
0.1112499,8.664178549867332,-5.757284739929562,-0.5916197177867859,13.360206425240236,-12.902936525399763,-22.517492525832417
0.1212499,8.549105131371839,-5.6177250661447795,-0.659997772918196,13.944461386295396,-12.994493240303267,-23.38943095614846
0.1312499,8.488518324358818,-5.484532977562849,-0.8020866293416399,13.760399018925296,-13.461372752309211,-24.416588325464975
0.1412499,8.494676163084243,-5.2973908027318775,-0.8918932616638262,13.18394391157284,-14.617835280525465,-25.490505620325656
0.1512499,8.573937733605423,-5.106459408900893,-0.8660889221272021,11.638668129823255,-16.002479485783265,-26.50150198323458
0.1612499,8.690898780353471,-4.97953520531455,-0.8440411439836021,9.410327369259722,-17.13564024252801,-27.46874644982995
0.1712499,8.727855001053772,-4.852713652948392,-0.9031219110640637,7.194454314713543,-18.20283284462721,-28.50958578342817
0.1812499,8.660131350120704,-4.703089652802287,-0.9440075018667677,4.842280559098831,-19.685786270803607,-29.687273179988324
0.1912499,8.628363405271815,-4.612871113774849,-0.8921236557254417,2.8583255404675714,-21.030217036345107,-30.898791178527716
0.2012499,8.656818341947046,-4.569491861105908,-0.7702187307911363,1.5390381909800919,-21.801246847661538,-31.65674049044901
0.2112499,8.726536050792868,-4.487244897989622,-0.6481381841867698,0.38698815077137505,-21.98784918419627,-31.768792232191434
0.2212499,8.832272881109496,-4.363514247963774,-0.5710359885103926,-0.6277049952415317,-21.34297698947216,-31.52847417297527
0.2312499,8.837554264548235,-4.282808730904737,-0.5263950035119123,-1.3643340563309299,-20.48178188005667,-30.78381179530384
0.2412499,8.704665848293802,-4.276111470689034,-0.5093645699268881,-1.900287681450496,-19.66896632459107,-29.478207739003647
0.2512499,8.528491681561091,-4.290708086855214,-0.5426269878662565,-1.662293553875619,-18.951494435949193,-27.777635179081592
0.2612499,8.36899999433685,-4.253384838391753,-0.5618762026631399,-0.7330955527815999,-18.390519213392537,-26.165350521919905
0.2712499,8.238085085611589,-4.149099132892686,-0.5452889412417862,0.5048176381187455,-18.211386972869306,-24.826144989241996
0.2812499,8.150768188444488,-4.0194470449248945,-0.5303935398660297,1.8240333488120897,-18.161324682191943,-24.006848039757358
