# Time (seconds),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.0012499,8.848969459533691,-1.3263877630233765,2.913743495941162,19.744873046875,-33.233642578125,-0.48828125
0.0037499,8.844181060791016,-1.3287819623947144,2.8778305053710938,18.61572265625,-33.2794189453125,-0.244140625
0.0062499,8.832210540771484,-1.3431471586227417,2.8419175148010254,17.333984375,-32.89794921875,0.2899169921875
0.0087499,8.810662269592285,-1.3694833517074585,2.808398485183716,16.204833984375,-32.806396484375,0.5950927734375
0.0112499,8.786720275878906,-1.4053963422775269,2.7772738933563232,14.892578125,-32.6995849609375,1.0833740234375
0.0137499,8.753201484680176,-1.4532804489135742,2.7437551021575928,13.885498046875,-32.9437255859375,1.556396484375
0.016249899999999998,8.7268648147583,-1.50355863571167,2.7126305103302,12.6953125,-32.684326171875,2.25830078125
0.0187499,8.700529098510742,-1.556231141090393,2.669534921646118,11.4593505859375,-32.6385498046875,2.9296875
0.021249900000000002,8.678980827331543,-1.601720929145813,2.6168625354766846,10.0555419921875,-32.5469970703125,3.5247802734375
0.023749899999999997,8.65982723236084,-1.644816517829895,2.5522189140319824,8.72802734375,-32.196044921875,4.119873046875
0.0262499,8.640673637390137,-1.680729627609253,2.473210334777832,7.5836181640625,-32.2265625,4.7607421875
0.028749900000000002,8.619126319885254,-1.7118542194366455,2.3989901542663574,5.9814453125,-32.2265625,5.3558349609375
0.031249899999999997,8.592789649963379,-1.745373010635376,2.315192937850952,4.730224609375,-32.0892333984375,5.9814453125
0.0337499,8.56884765625,-1.7764976024627686,2.2385785579681396,3.5552978515625,-31.982421875,6.4849853515625
0.0362499,8.547300338745117,-1.8100165128707886,2.169146776199341,2.1209716796875,-32.0892333984375,7.293701171875
0.0387499,8.530540466308594,-1.8483237028121948,2.1140801906585693,0.8544921875,-32.196044921875,8.0718994140625
0.0412499,8.513781547546387,-1.8842366933822632,2.070984363555908,-0.3204345703125,-32.1197509765625,8.392333984375
0.0437499,8.49941635131836,-1.9321208000183105,2.0470423698425293,-1.6021728515625,-32.0587158203125,8.7738037109375
0.0462499,8.489839553833008,-1.9800047874450684,2.0231003761291504,-2.9296875,-32.28759765625,9.552001953125
0.0487499,8.485051155090332,-2.032677173614502,2.006340980529785,-4.486083984375,-31.9976806640625,10.009765625
0.0512499,8.487444877624512,-2.0829553604125977,1.9800047874450684,-5.8441162109375,-32.073974609375,10.528564453125
0.053749899999999996,8.487444877624512,-2.1284453868865967,1.9536685943603516,-7.14111328125,-31.8756103515625,10.986328125
0.0562499,8.487444877624512,-2.1715409755706787,1.9177556037902832,-8.4075927734375,-31.6162109375,11.383056640625
0.0587499,8.470685958862305,-2.207453966140747,1.8842366933822632,-9.6893310546875,-31.43310546875,11.8408203125
0.061249899999999996,8.451532363891602,-2.233790159225464,1.8626888990402222,-10.68115234375,-31.06689453125,11.8408203125
0.0637499,8.425195693969727,-2.2601263523101807,1.843535304069519,-11.71875,-30.975341796875,11.9476318359375
0.0662499,8.406042098999023,-2.279279947280884,1.843535304069519,-12.8021240234375,-30.8380126953125,12.0849609375
0.0687499,8.396465301513672,-2.300827741622925,1.845929503440857,-13.7481689453125,-30.6854248046875,12.3291015625
0.0712499,8.396465301513672,-2.3271639347076416,1.8579005002975464,-14.4195556640625,-30.517578125,12.3443603515625
0.0737499,8.406042098999023,-2.3535003662109375,1.8722656965255737,-15.07568359375,-30.181884765625,12.359619140625
0.0762499,8.418013572692871,-2.389413356781006,1.889025092124939,-15.594482421875,-29.6630859375,12.3138427734375
0.0787499,8.425195693969727,-2.425326347351074,1.9153614044189453,-15.838623046875,-29.388427734375,12.39013671875
0.0812499,8.429984092712402,-2.4612393379211426,1.9297266006469727,-16.0064697265625,-29.205322265625,12.237548828125
0.0837499,8.42040729522705,-2.5019407272338867,1.946485996246338,-16.204833984375,-29.144287109375,12.054443359375
0.0862499,8.403648376464844,-2.540247917175293,1.9488801956176758,-16.3421630859375,-28.778076171875,12.02392578125
0.0887499,8.379706382751465,-2.580949544906616,1.941697597503662,-16.3421630859375,-28.228759765625,12.0697021484375
0.0912499,8.35097599029541,-2.6192567348480225,1.9153614044189453,-16.5557861328125,-27.862548828125,11.7645263671875
0.0937499,8.312667846679688,-2.655169725418091,1.8722656965255737,-16.41845703125,-27.52685546875,11.5203857421875
0.0962499,8.274360656738281,-2.693476915359497,1.8171991109848022,-16.0369873046875,-27.2216796875,11.566162109375
0.0987499,8.226476669311523,-2.734178304672241,1.7573440074920654,-16.0980224609375,-26.85546875,11.505126953125
0.1012499,8.180987358093262,-2.779668092727661,1.6974890232086182,-16.05224609375,-26.4129638671875,11.3677978515625
0.1037499,8.133103370666504,-2.832340717315674,1.644816517829895,-15.869140625,-26.0467529296875,11.04736328125
0.1062499,8.092401504516602,-2.8778305053710938,1.6041151285171509,-15.350341796875,-25.7110595703125,11.0931396484375
0.1087499,8.063671112060547,-2.920926094055176,1.5705963373184204,-14.923095703125,-25.20751953125,10.8642578125
0.1112499,8.044517517089844,-2.9520506858825684,1.5490485429763794,-14.7552490234375,-24.96337890625,10.7421875
0.1137499,8.042123794555664,-2.980781078338623,1.5394717454910278,-14.5416259765625,-24.5361328125,10.3302001953125
0.1162499,8.044517517089844,-3.00711727142334,1.5322890281677246,-13.9007568359375,-24.169921875,10.040283203125
